Type,Name,Tier,Refined,BaseValue,MaxStack,Category
Resource,"Aetherium Ore",6,False,20,9999,
Resource,"Axle",3,False,6,9999,
Resource,"Battery Cell (Large)",5,False,20,9999,
Resource,"Battery Cell (Small)",3,False,8,9999,
Resource,"Bearing",3,False,5,9999,
Resource,"Bronze Bar",3,False,8,9999,
Resource,"Bronze Cog",3,False,6,9999,
Resource,"Circuit Board",3,False,8,9999,
Resource,"Coal",1,False,1,100,
Resource,"Coolant",3,False,5,9999,
Resource,"Copper Bar",2,True,5,100,
Resource,"Copper Ore",1,False,1,200,
Resource,"Copper Wire",2,False,4,9999,
Resource,"Diamond",5,False,100,9999,
Resource,"Electrolyte",3,True,9,200,
Resource,"Electronics",4,False,12,9999,
Resource,"Engine Block",5,False,28,99,
Resource,"Enriched Uranium",5,True,40,20,
Resource,"Fasteners (Bolts)",2,False,3,9999,
Resource,"Fiber",2,False,2,200,
Resource,"Frame Rail (Steel)",4,False,16,9999,
Resource,"Fuel",3,False,0,9999,
Resource,"Fuel (Refined)",3,False,8,9999,
Resource,"Fuel Canister",3,False,7,9999,
Resource,"Fuel Cell (Motor)",5,False,30,99,
Resource,"Glass",2,False,5,9999,
Resource,"Gold Bar",4,True,12,100,
Resource,"Gold Ore",3,False,12,100,
Resource,"Hydrogen (Gas)",3,True,10,200,
Resource,"Iron Bar",2,True,5,100,
Resource,"Iron Ore",1,False,1,200,
Resource,"Iron Plate",2,False,5,9999,
Resource,"Iron Rod",2,False,4,9999,
Resource,"Lens",3,False,6,9999,
Resource,"Nuclear Fuel Rod",6,False,80,99,
Resource,"Oil",2,False,3,100,
Resource,"Optics Housing",3,False,5,9999,
Resource,"Plastic",3,False,6,9999,
Resource,"Power Core (Basic)",5,False,20,99,
Resource,"Quartz Crystal",2,False,8,100,
Resource,"Rubber",3,False,6,9999,
Resource,"Rubber Sap (Latex)",2,False,4,100,
Resource,"Sand (Silica)",1,False,3,200,
Resource,"Silver Bar",3,True,9,100,
Resource,"Silver Ore",2,False,7,100,
Resource,"Solar Array Module",3,False,18,99,
Resource,"Solar Cell",2,False,6,9999,
Resource,"Steel Bar",3,True,7,100,
Resource,"Steel Cog",3,False,8,9999,
Resource,"Steel Plate",3,False,8,9999,
Resource,"Steel Rod",3,False,6,9999,
Resource,"Stone",1,False,1,200,
Resource,"Sulfur (Mining)",2,False,6,100,
Resource,"Sulfur (Refined)",3,True,8,100,
Resource,"Tin Bar",2,True,5,100,
Resource,"Tin Ore",1,False,1,200,
